time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,setting_type,placements
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E06000019,"Herefordshire, County of",884,Education setting with URN,86
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000010,Wigan,359,One on one tuition,8
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000043,Brighton and Hove,846,Registered provider with UKPRN,4
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000013,Hammersmith and Fulham,205,One on one tuition,6
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000029,Sutton,319,Education setting with URN,122
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000024,Nottinghamshire,891,Work based placement,1
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000009,Ealing,307,Education setting with URN,312
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000055,Bedford,822,One on one tuition,5
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000032,Wandsworth,212,Other unregistered provider,7
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000017,Doncaster,371,One on one tuition,40
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E10000028,Staffordshire,860,Other unregistered provider,2
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000021,Kingston upon Thames,314,One on one tuition,11
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000028,Southwark,210,Education setting with URN,203
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000001,Bolton,350,Education setting with URN,205
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000023,"Bristol, City of",801,Education setting with URN,162
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E10000030,Surrey,936,One on one tuition,120
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000025,South Gloucestershire,803,Work based placement,2
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E06000050,Cheshire West and Chester,896,One on one tuition,4
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,812,Non-maintained further education college,3
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000058,"Bournemouth, Christchurch and Poole",839,One on one tuition,24
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E10000016,Kent,886,Other unregistered provider,74
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000058,"Bournemouth, Christchurch and Poole",839,Education setting with URN,399
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000008,Tameside,357,Registered provider with UKPRN,13
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000026,Coventry,331,Education setting with URN,103
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000020,Norfolk,926,Non-maintained further education college,8
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000033,Southend-on-Sea,882,Education setting with URN,30
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E10000023,North Yorkshire,815,One on one tuition,10
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000020,Kensington and Chelsea,207,One on one tuition,8
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000060,Buckinghamshire,825,Education setting with URN,232
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000030,Walsall,335,Non-maintained further education college,10
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000009,Ealing,307,One on one tuition,27
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E10000016,Kent,886,Work based placement,9
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E10000023,North Yorkshire,815,Other unregistered provider,23
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000025,South Gloucestershire,803,Non-maintained further education college,25
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000035,Leeds,383,Registered provider with UKPRN,4
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000038,Reading,870,Education setting with URN,77
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000029,Sutton,319,One on one tuition,22
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000009,Ealing,307,Other unregistered provider,3
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000013,Hammersmith and Fulham,205,Education setting with URN,84
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000036,Bracknell Forest,867,One on one tuition,3
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,813,Education setting with URN,134
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E06000057,Northumberland,929,Work based placement,1
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E06000057,Northumberland,929,Other unregistered provider,241
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E06000007,Warrington,877,Registered provider with UKPRN,1
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000006,Bromley,305,Education setting with URN,322
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000041,Wokingham,872,Other unregistered provider,18
