time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,characteristic_grouping,pupil_characteristic,setting_type,pupils
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E06000008,Blackburn with Darwen,889,Age,15,Education setting with URN,73
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000003,Cambridgeshire,873,Age,12,Other unregistered provider,6
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E10000032,West Sussex,938,Age,14,Education setting with URN,79
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E10000031,Warwickshire,937,Age,12,One on one tuition,2
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E10000028,Staffordshire,860,Age,4,Other unregistered provider,2
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,382,Age,8,Education setting with URN,3
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000025,South Gloucestershire,803,Age,16,Education setting with URN,1
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000025,Birmingham,330,Age,6,Education setting with URN,1
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000052,Cornwall,908,Age,14,One on one tuition,5
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",810,Age,10,Education setting with URN,6
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000052,Cornwall,908,Age,7,Other unregistered provider,2
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E10000017,Lancashire,888,Age,10,Education setting with URN,5
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000010,Wigan,359,Age,6,Other unregistered provider,1
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000031,Waltham Forest,320,Age,15,Non-maintained further education college,5
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000012,Essex,881,Age,10,Education setting with URN,14
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Age,13,Other unregistered provider,5
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Age,6,One on one tuition,3
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000019,Sheffield,373,Age,6,One on one tuition,1
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000004,Oldham,353,Age,13,Registered provider with UKPRN,7
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E10000008,Devon,878,Age,15,Work based placement,10
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000016,Leicester,856,Age,15,Other unregistered provider,77
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000041,Wokingham,872,Age,15,One on one tuition,7
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000019,Lincolnshire,925,Age,5,Education setting with URN,5
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000001,Bolton,350,Age,14,One on one tuition,1
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000040,Windsor and Maidenhead,868,Age,12,Registered provider with UKPRN,1
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000012,Essex,881,Age,10,Other unregistered provider,2
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000010,Wigan,359,Age,13,One on one tuition,3
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000016,Havering,311,Age,10,One on one tuition,1
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000019,Lincolnshire,925,Age,11,Education setting with URN,5
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Age,13,Education setting with URN,11
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000009,Trafford,358,Age,17,Education setting with URN,1
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000056,Central Bedfordshire,823,Age,15,Non-maintained further education college,6
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000014,York,816,Age,10,Education setting with URN,3
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E06000005,Darlington,841,Age,9,Education setting with URN,2
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000019,Lincolnshire,925,Age,15,Other unregistered provider,3
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000019,Islington,206,Age,12,One on one tuition,1
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000056,Central Bedfordshire,823,Age,12,Other unregistered provider,3
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000015,Hertfordshire,919,Age,14,Non-maintained further education college,2
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000029,Solihull,334,Age,13,Education setting with URN,20
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000010,Wigan,359,Age,14,Work based placement,4
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000012,Essex,881,Age,15,Non-maintained further education college,2
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000040,Windsor and Maidenhead,868,Age,15,Other unregistered provider,1
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000018,Leicestershire,855,Age,7,Education setting with URN,2
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Age,15,Other unregistered provider,10
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Age,12,Education setting with URN,8
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000037,West Berkshire,869,Age,14,Work based placement,3
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000020,Norfolk,926,Age,10,One on one tuition,5
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000054,Wiltshire,865,Age,8,Registered provider with UKPRN,2
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000016,Barnsley,370,Age,5,Education setting with URN,7
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E06000047,County Durham,840,Age,8,Education setting with URN,2
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000009,Ealing,307,Age,4,Registered provider with UKPRN,3
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000052,Cornwall,908,Age,9,Education setting with URN,7
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E10000032,West Sussex,938,Age,10,Non-maintained further education college,1
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000018,Hounslow,313,Age,15,Education setting with URN,20
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E10000014,Hampshire,850,Age,14,Registered provider with UKPRN,2
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E10000025,Oxfordshire,931,Age,15,One on one tuition,12
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E06000021,Stoke-on-Trent,861,Age,15,Work based placement,2
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000018,Rotherham,372,Age,6,Registered provider with UKPRN,1
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000023,"Bristol, City of",801,Age,12,Other unregistered provider,11
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000024,Nottinghamshire,891,Age,13,Other unregistered provider,22
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000007,Derbyshire,830,Age,15,One on one tuition,38
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000044,Portsmouth,851,Age,15,Registered provider with UKPRN,2
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000020,Kensington and Chelsea,207,Age,13,Other unregistered provider,2
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000003,Manchester,352,Age,10,Other unregistered provider,1
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,382,Age,15,One on one tuition,1
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,811,Age,14,Other unregistered provider,3
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000032,Wandsworth,212,Age,11,Registered provider with UKPRN,1
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E10000013,Gloucestershire,916,Age,15,One on one tuition,2
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000009,Trafford,358,Age,15,Non-maintained further education college,1
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000061,North Northamptonshire,940,Age,8,Education setting with URN,2
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000032,Bradford,380,Age,13,Other unregistered provider,9
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000042,Milton Keynes,826,Age,9,Education setting with URN,4
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000020,Norfolk,926,Age,15,Work based placement,6
