time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,num_schools,enrolments,sess_possible,sess_overall,sess_authorised,sess_unauthorised,sess_overall_percent,sess_authorised_percent,sess_unauthorised_percent,enrolments_pa_10_exact,enrolments_pa_10_exact_percent,enrolments_pa_50_exact,enrolments_pa_50_exact_percent,sess_auth_illness,sess_auth_appointments,sess_auth_religious,sess_auth_study,sess_auth_traveller,sess_auth_holiday,sess_auth_ext_holiday,sess_auth_excluded,sess_auth_other,sess_auth_totalreasons,sess_unauth_holiday,sess_unauth_late,sess_unauth_other,sess_unauth_noyet,sess_unauth_totalreasons,sess_overall_totalreasons,sess_x_covid,sess_y_exceptional
201516,Autumn and spring term,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,1,86,12715,4066,2027,2039,31.97798,15.9418,16.03618,59,68.60465,z,z,1008,68,0,0,0,2,z,157,792,2027,16,299,1719,5,2039,4066,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,1,130,19330,9056,8254,802,46.84946,42.70047,4.14899,103,79.23077,z,z,1452,159,0,0,0,6,z,69,6568,8254,52,0,741,9,802,9056,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E12000009,South West,835,E10000009,Dorset,5,315,36420,7675,2982,4693,21.07359,8.18781,12.88578,197,62.53968,z,z,1787,297,0,0,0,37,z,379,482,2982,54,18,4620,1,4693,7675,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,1,285,42815,11942,4731,7211,27.89209,11.04987,16.84223,175,61.40351,z,z,2516,370,1,2,10,16,z,781,1035,4731,60,38,6916,197,7211,11942,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,1,202,31074,7943,3456,4487,25.56156,11.12184,14.43972,127,62.87129,z,z,634,114,7,0,0,44,z,4,2653,3456,77,0,4409,1,4487,7943,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,1,70,12229,2229,697,1532,18.22716,5.69957,12.5276,41,58.57143,z,z,320,65,7,0,0,10,z,164,131,697,49,0,1460,23,1532,2229,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E13000001,Inner London,309,E09000014,Haringey,2,203,21452,2397,988,1409,11.17378,4.60563,6.56815,64,31.52709,z,z,341,74,9,0,0,0,z,266,168,858,14,84,1133,0,1231,2089,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,1,137,24928,4926,2287,2639,19.76091,9.17442,10.58649,88,64.23358,z,z,1466,208,2,0,0,62,z,48,501,2287,0,0,2639,0,2639,4926,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E13000002,Outer London,302,E09000003,Barnet,2,187,23402,8850,6584,2266,37.81728,28.13435,9.68293,141,75.40107,z,z,1568,126,17,0,0,60,z,172,4641,6584,10,138,2100,18,2266,8850,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E13000002,Outer London,304,E09000005,Brent,2,112,17802,4796,2491,2305,26.94079,13.99281,12.94798,80,71.42857,z,z,1202,217,28,0,0,16,z,453,575,2491,46,326,1931,2,2305,4796,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E13000002,Outer London,305,E09000006,Bromley,1,39,6765,1007,723,284,14.88544,10.68736,4.19808,19,48.71795,z,z,470,129,0,5,0,0,z,81,38,723,0,0,281,3,284,1007,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,2,152,14904,3833,2243,1590,25.71793,15.04965,10.66828,95,62.5,z,z,990,153,27,0,0,8,z,110,955,2243,26,191,1369,4,1590,3833,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E13000002,Outer London,313,E09000018,Hounslow,1,157,28576,7168,3734,3434,25.08399,13.06691,12.01708,97,61.78344,z,z,1644,97,16,0,0,4,z,389,1584,3734,24,0,3410,0,3434,7168,0,0
201516,Autumn and spring term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,39,3035,459113,121317,52511,68806,26.42421,11.43749,14.98672,1925,63.42669,z,z,19274,3262,224,25,22,261,z,4822,24621,52511,788,1384,64595,2039,68806,121317,0,0
201617,Autumn and spring term,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,1,247,42651,21811,12445,9366,51.13831,29.17868,21.95963,231,93.52227,152,61.5385,2715,275,0,0,0,68,z,203,9184,12445,69,638,8563,96,9366,21811,0,0
201617,Autumn and spring term,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,1,146,24641,7726,5866,1860,31.35425,23.80585,7.54839,104,71.23288,35,23.9726,1958,441,0,0,0,1,z,71,3395,5866,50,0,1810,0,1860,7726,0,0
201617,Autumn and spring term,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,4,246,36556,11108,6127,4981,30.38626,16.76059,13.62567,139,56.50407,56,22.7642,1845,236,2,3,0,4,z,160,3877,6127,4,33,4924,20,4981,11108,0,0
201617,Autumn and spring term,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,1,168,26358,13707,5337,8370,52.00319,20.24812,31.75506,158,94.04762,94,55.9524,826,101,0,0,0,2,z,1191,3217,5337,49,176,8145,0,8370,13707,0,0
